  0.8500E-01  0.2513E+03  0.7991E+01  0.1734E+01
  0.8600E-01  0.2512E+03  0.8003E+01  0.1756E+01
  0.8700E-01  0.2512E+03  0.8016E+01  0.1778E+01
  0.8800E-01  0.2512E+03  0.8028E+01  0.1800E+01
  0.8900E-01  0.2511E+03  0.8040E+01  0.1822E+01
  0.9000E-01  0.2511E+03  0.8053E+01  0.1844E+01
  0.9100E-01  0.2511E+03  0.8065E+01  0.1866E+01
  0.9200E-01  0.2510E+03  0.8077E+01  0.1888E+01
  0.9300E-01  0.2510E+03  0.8090E+01  0.1910E+01
  0.9400E-01  0.2510E+03  0.8102E+01  0.1932E+01
  0.9500E-01  0.2509E+03  0.8114E+01  0.1954E+01
  0.9600E-01  0.2509E+03  0.8127E+01  0.1976E+01
  0.9700E-01  0.2509E+03  0.8139E+01  0.1998E+01
  0.9800E-01  0.2508E+03  0.8152E+01  0.2020E+01
  0.9900E-01  0.2508E+03  0.8164E+01  0.2042E+01
  0.1000E+00  0.2508E+03  0.8177E+01  0.2065E+01
  0.1010E+00  0.2507E+03  0.8189E+01  0.2087E+01
  0.1020E+00  0.2507E+03  0.8202E+01  0.2109E+01
  0.1030E+00  0.2507E+03  0.8214E+01  0.2132E+01
  0.1040E+00  0.2506E+03  0.8227E+01  0.2154E+01
  0.1050E+00  0.2506E+03  0.8239E+01  0.2177E+01
  0.1060E+00  0.2505E+03  0.8252E+01  0.2199E+01
  0.1070E+00  0.2505E+03  0.8264E+01  0.2222E+01
  0.1080E+00  0.2505E+03  0.8277E+01  0.2244E+01
  0.1090E+00  0.2504E+03  0.8289E+01  0.2267E+01
  0.1100E+00  0.2504E+03  0.8302E+01  0.2289E+01
  0.1110E+00  0.2504E+03  0.8315E+01  0.2312E+01
  0.1120E+00  0.2503E+03  0.8327E+01  0.2335E+01
  0.1130E+00  0.2503E+03  0.8340E+01  0.2357E+01
  0.1140E+00  0.2503E+03  0.8353E+01  0.2380E+01
  0.1150E+00  0.2502E+03  0.8365E+01  0.2403E+01
  0.1160E+00  0.2502E+03  0.8378E+01  0.2426E+01
  0.1170E+00  0.2502E+03  0.8391E+01  0.2448E+01
  0.1180E+00  0.2501E+03  0.8403E+01  0.2471E+01
  0.1190E+00  0.2501E+03  0.8416E+01  0.2494E+01
  0.1200E+00  0.2501E+03  0.8429E+01  0.2517E+01
  0.1210E+00  0.2500E+03  0.8442E+01  0.2540E+01
  0.1220E+00  0.2500E+03  0.8454E+01  0.2563E+01
  0.1230E+00  0.2499E+03  0.8467E+01  0.2586E+01
  0.1240E+00  0.2499E+03  0.8480E+01  0.2609E+01
  0.1250E+00  0.2499E+03  0.8493E+01  0.2633E+01
  0.1260E+00  0.2498E+03  0.8506E+01  0.2656E+01
